run,max_steps,init_cars,av_travel_time,free_flow_travel_time,av_waiting_agents,travel_time_index,sim_type
30,500,750,300.9922613929493,29.04948051653311,54.671486486109295,10.361364679882783,dynamic
31,500,750,356.3033419023136,29.29534940330717,74.40354123037312,12.162454080922833,static
31,500,750,304.65552699228795,29.126205758371547,55.397584673201244,10.459842573374766,dynamic
32,500,750,361.5504273504274,29.391903153171963,74.26870510479961,12.301021320948687,static
32,500,750,313.08290598290597,29.407202165823804,57.86406223612784,10.646470351632496,dynamic
33,500,750,346.13616652211624,29.87996010668035,71.27254181378093,11.584224519922627,static
33,500,750,302.8256721595837,29.842774903646394,54.57566956700047,10.147369778357387,dynamic
34,500,750,358.06063268892797,29.233764663468303,75.60163142248113,12.248187560200725,static
34,500,750,292.018453427065,29.222156458673002,54.62549930436719,9.993049412354212,dynamic
35,500,750,352.7099567099566,29.77473423590065,73.45100743508355,11.845948108738432,static
35,500,750,305.45194805194814,29.749043432509236,57.11181409608182,10.267622511793286,dynamic
36,500,750,356.3046875,29.089948484111947,73.36495900900944,12.248378084773949,static
36,500,750,301.4010416666667,29.07557097581807,55.09696383624075,10.366126323618534,dynamic
37,500,750,365.2385082393756,29.394334089477105,75.95162586821365,12.425473124432086,static
37,500,750,303.20034692107544,29.14371902442534,55.541363788499915,10.403625792129114,dynamic
38,500,750,350.04819277108436,29.675833579684237,71.55589153714597,11.795732437680323,static
38,500,750,301.6092943201377,29.673384965088445,55.60355863171153,10.164303623431886,dynamic
39,500,750,351.1582608695652,29.42527875284695,74.16900945224002,11.93389751101644,static
39,500,750,305.42,29.302776546905953,54.901727039285014,10.422903082617577,dynamic
40,500,750,360.5566037735849,28.923545537413613,73.24568494258588,12.465850817189489,static
40,500,750,310.5343053173242,28.76736603819833,56.00028630226864,10.79467285621442,dynamic
41,500,750,365.8429184549356,28.9818564374961,75.18466772737635,12.623170611721616,static
41,500,750,302.6901287553648,28.942221011471748,55.95439395958911,10.458427797762594,dynamic
42,500,750,355.5603448275862,29.5409700480585,73.68103762327848,12.036177019547615,static
42,500,750,304.17844827586214,29.4602132243458,55.1784682167354,10.32505929130514,dynamic
43,500,750,347.51733102253036,29.114253187031284,73.82745170792158,11.936329906525964,static
43,500,750,311.7287694974003,29.073645099982947,57.164768101764714,10.722039442435896,dynamic
44,500,750,363.17113223854795,29.367203036918546,72.4280845681439,12.366555023370552,static
44,500,750,318.5531547104581,29.206943039095524,55.19974264146658,10.906761254817138,dynamic
45,500,750,358.69184027777777,29.366108334651383,72.46522775935865,12.214483314921546,static
45,500,750,302.1076388888889,29.301409893690234,55.933353170639,10.310344791768696,dynamic
46,500,750,350.95376712328766,28.891924707199177,71.15557953045652,12.147123138384694,static
46,500,750,303.0119863013698,28.836754536538788,55.96518843701743,10.507839428234762,dynamic
47,500,750,356.9425587467362,29.13907240865366,72.54918510894028,12.249619814278375,static
47,500,750,304.5056570931245,29.148875118759328,56.229987993002084,10.446566320398203,dynamic
48,500,750,364.9922547332186,30.088526127532074,76.82608086913653,12.130612619115222,static
48,500,750,306.27710843373495,29.97542202023991,54.26189751885908,10.217607886452157,dynamic
49,500,750,357.6962457337884,29.23034748149786,72.91775211200563,12.237153388621257,static
49,500,750,298.6331058020478,29.26196024497385,56.1436926857125,10.205505827428023,dynamic
0,500,1000,397.5508595988539,29.84308573836258,83.17286677208519,13.321372430593252,static
0,500,1000,359.9111747851004,29.65556665975698,64.22412231246942,12.136378269699525,dynamic
1,500,1000,389.57628344179324,28.94835425035779,78.15160215449096,13.457631479584999,static
1,500,1000,365.91829356471436,28.959983601241582,68.98686800747797,12.635307346963641,dynamic
2,500,1000,383.689160086145,28.974209870221266,77.79211699176241,13.242437388447586,static
2,500,1000,338.4752333094042,28.774531937199868,60.43900186738836,11.76301439231481,dynamic
3,500,1000,398.1469329529244,28.706916683244664,82.35299557006252,13.869372923122409,static
3,500,1000,357.4793152639087,28.445281544300762,62.46868156471643,12.567262331616213,dynamic
4,500,1000,391.9323361823362,29.31194227238717,82.81978959814505,13.371080378783002,static
4,500,1000,356.18589743589746,29.117082694265427,63.148380718554534,12.232884083062615,dynamic
5,500,1000,390.27985611510803,29.34948474570179,78.62288189196603,13.297673178820085,static
5,500,1000,351.43381294964036,29.301478205917782,61.43919028592191,11.993722995130804,dynamic
6,500,1000,395.8309455587392,29.816787622680373,82.6978744186507,13.275439009990716,static
6,500,1000,357.36318051575927,29.5974658062347,63.277250072096,12.074114143937313,dynamic
7,500,1000,392.51258087706685,29.33272141719193,82.5601997259997,13.381389857915295,static
7,500,1000,343.77282530553566,29.10064183810493,61.00350306719758,11.813238595149913,dynamic
8,500,1000,398.8169319826339,29.608922838403807,82.76411030052844,13.469484660392792,static
8,500,1000,356.3813314037626,29.44105800334885,65.85637902776016,12.104909115807764,dynamic
9,500,1000,390.7923850574714,29.157989627972327,81.56625871206028,13.402583307134792,static
9,500,1000,346.66594827586215,28.98315207944799,62.24578944519652,11.960947081448865,dynamic
10,500,1000,398.1185714285714,29.40279008440041,82.4348861710926,13.540163035064907,static
10,500,1000,355.9021428571428,29.30963392173077,61.74179388083235,12.142838215160019,dynamic
11,500,1000,388.4868139700641,29.26892670476652,80.22351982241814,13.27301195184578,static
